札所,緯度,経度
第一番 竺和山 一乗院 霊山寺,34.159803,134.502592
第二番 日照山 無量寿院 極楽寺,34.15565,134.490347
第三番 亀光山 釈迦院 金泉寺,34.147436,134.468544
第四番 黒厳山 遍照院 大日寺,34.151306,134.430889
第五番 無尽山 荘厳院 地蔵寺,34.137219,134.431925
第六番 温泉山 瑠璃光院 安楽寺,34.118056,134.388389
第七番 光明山 蓮華院 十楽寺,34.12075,134.377925
第八番 普明山 真光院 熊谷寺,34.122758,134.340039
第九番 正覚山 菩提院 法輪寺,34.104378,134.333814
第十番 得度山 灌頂院 切幡寺,34.10775,134.304278
第十一番 金剛山 一乗院 藤井寺,34.051667,134.3485
第十二番 摩廬山 正寿院 焼山寺,33.985028,134.31025
第十三番 大栗山 花蔵院 大日寺,34.038117,134.462683
第十四番 盛寿山 延命院 常楽寺,34.050333,134.475639
第十五番 薬王山 金色院 国分寺,34.055611,134.473611
第十六番 光耀山 千手院 観音寺,34.068472,134.474344
第十七番 瑠璃山 真福院 井戸寺,34.085167,134.485444
第十八番 母養山 宝樹院 恩山寺,33.986,134.57825
第十九番 橋池山 摩尼院 立江寺,33.967861,134.605806
第二十番 霊鷲山 宝珠院 鶴林寺,33.913861,134.505611
第二十一番 舎心山 常住院 太龍寺,33.882528,134.521889
第二十二番 白水山 医王院 平等寺,33.851833,134.582778
第二十三番 医王山 無量寿院 薬王寺,33.732306,134.527583
第二十四番 室戸山 明星院 最御崎寺,33.249008,134.175739
第二十五番 宝珠山 真言院 津照寺,33.287806,134.14825
第二十六番 龍頭山 光明院 金剛頂寺,33.307222,134.122861
第二十七番 竹林山 地蔵院 神峯寺,33.467611,133.974778
第二十八番 法界山 高照院 大日寺,33.577583,133.705389
第二十九番 摩尼山 宝蔵院 国分寺,33.598694,133.640417
第三十番 百々山 東明院 善楽寺,33.591917,133.577556
第三十一番 五台山 金色院 竹林寺,33.546611,133.577472
第三十二番 八葉山 求聞持院 禅師峰寺,33.526694,133.611389
第三十三番 高福山 雪蹊寺,33.500833,133.543083
第三十四番 本尾山 朱雀院 種間寺,33.491722,133.487583
第三十五番 醫王山 鏡池院 清滝寺,33.5125,133.4095
第三十六番 独鈷山 伊舎那院 青龍寺,33.426,133.450806
第三十七番 藤井山 五智院 岩本寺,33.207972,133.134611
第三十八番 蹉?山 補陀洛院 金剛福寺,32.726028,133.018556
第三十九番 赤亀山 寺山院 延光寺,32.961306,132.774056
第四十番 平城山 薬師院 観自在寺,32.964667,132.564056
第四十一番 稲荷山 護国院 龍光寺,33.295194,132.5985
第四十二番 一カ山 毘盧舎那院 仏木寺,33.310583,132.581472
第四十三番 源光山 円手院 明石寺,33.369222,132.518972
第四十四番 菅生山 大覚院 大寶寺,33.660889,132.912083
第四十五番 海岸山 岩屋寺,33.658667,132.980722
第四十六番 医王山 養珠院 浄瑠璃寺,33.753556,132.819111
第四十七番 熊野山 妙見院 八坂寺,33.757944,132.812861
第四十八番 清滝山 安養院 西林寺,33.793722,132.813944
第四十九番 西林山 三蔵院 浄土寺,33.816667,132.808528
第五十番 東山 瑠璃光院 繁多寺,33.828139,132.804556
第五十一番 熊野山 虚空蔵院 石手寺,33.847861,132.796472
第五十二番 龍雲山 護持院 太山寺,33.885083,132.714972
第五十三番 須賀山 正智院 円明寺,33.89175,132.739667
第五十四番 近見山 宝鐘院 延命寺,34.066833,132.964
第五十五番 別宮山 金剛院 南光坊,34.06875,132.99575
第五十六番 金輪山 勅王院 泰山寺,34.050111,132.974583
第五十七番 府頭山 無量寿院 栄福寺,34.029472,132.978472
第五十八番 作礼山 千光院 仙遊寺,34.013194,132.977361
第五十九番 金光山 最勝院 国分寺,34.026167,133.025444
第六十番 石鉄山 福智院 横峰寺,33.837861,133.111139
第六十一番 栴檀山 教王院 香園寺,33.893528,133.103306
第六十二番 天養山 観音院 宝寿寺,33.897333,133.114944
第六十三番 密教山 胎蔵院 吉祥寺,33.896056,133.129167
第六十四番 石山 金色院 前神寺,33.890222,133.160667
第六十五番 由霊山 慈尊院 三角寺,33.967639,133.5865
第六十六番 巨鼇山 千手院 雲辺寺,34.035222,133.723722
第六十七番 小松尾山 不動光院 大興寺,34.102194,133.719167
第六十八番 七宝山 神恵院,34.133986,133.647333
第六十九番 七宝山 観音寺,34.1345,133.647528
第七十番 七宝山 持宝院 本山寺,34.139667,133.694056
第七十一番 剣五山 千手院 弥谷寺,34.229722,133.724261
第七十二番 我拝師山 延命院 曼荼羅寺,34.223306,133.750219
第七十三番 我拝師山 求聞持院 出釈迦寺,34.219389,133.750278
第七十四番 医王山 多宝院 甲山寺,34.233194,133.765764
第七十五番 五岳山 誕生院 善通寺,34.225111,133.774139
第七十六番 鶏足山 宝幢院 金倉寺,34.250097,133.781014
第七十七番 桑多山 明王院 道隆寺,34.27675,133.762694
第七十八番 仏光山 広徳院 郷照寺,34.306694,133.824583
第七十九番 金華山 高照院 天皇寺,34.311472,133.882861
第八十番 白牛山 千手院 国分寺,34.303139,133.944167
第八十一番 綾松山 洞林院 白峯寺,34.333528,133.926764
第八十二番 青峰山 千手院 根香寺,34.3445,133.960556
第八十三番 神毫山 大宝院 一宮寺,34.286611,134.026583
第八十四番 南面山 千光院 屋島寺,34.357917,134.10125
第八十五番 五剣山 観自在院 八栗寺,34.359889,134.139528
第八十六番 補陀洛山 志度寺,34.324306,134.179639
第八十七番 補陀洛山 観音院 長尾寺,34.266706,134.171719
第八十八番 医王山 遍照光院 大窪寺,34.191417,134.20675
